time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-29T21:00:16.795Z,65.008,-147.362,14.6,1.1,ml,,,,0.92,ak,ak18823831,2018-03-29T21:08:11.287Z,"24km NNE of Badger, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-03-29T20:59:50.640Z,35.6791667,-120.9866667,-0.29,1.2,md,21,115,0.1044,0.12,nc,nc72991305,2018-03-30T00:27:03.928Z,"11km WSW of Lake Nacimiento, CA",quarry blast,0.29,31.61,0.329,10,reviewed,nc,nc
2018-03-29T20:59:23.524Z,39.5739,-119.9086,5.6,0.7,ml,10,120.8,0.053,,nn,nn00628092,2018-03-29T21:41:05.545Z,"6km NNE of Mogul, Nevada",earthquake,,,,,reviewed,nn,nn
2018-03-29T20:58:42.020Z,2.6647,96.0564,17.07,4.9,mb,,147,2.032,1.08,us,us1000db31,2018-03-29T21:22:49.040Z,"41km WNW of Sinabang, Indonesia",earthquake,7.9,3.9,0.062,81,reviewed,us,us
2018-03-29T20:53:19.228Z,36.957,-116.8851,0,0.5,ml,11,113.62,0.121,,nn,nn00628090,2018-03-29T21:34:45.996Z,"12km WNW of Beatty, Nevada",earthquake,,,,,reviewed,nn,nn
2018-03-29T20:52:35.730Z,56.2916,-149.2034,10,4,ml,,196,2.376,0.38,us,us1000db2v,2018-03-29T21:06:54.040Z,"256km SE of Kodiak, Alaska",earthquake,6.8,2,0.05,52,reviewed,us,us
2018-03-29T20:50:28.123Z,61.9092,-149.2711,0.1,1.2,ml,,,,0.73,ak,ak18823802,2018-03-29T21:00:25.170Z,"18km N of Fishhook, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-03-29T20:40:36.112Z,63.6671,-149.8699,135.3,1.9,ml,,,,0.35,ak,ak18823796,2018-03-29T20:46:59.261Z,"49km WSW of Healy, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-03-29T20:23:51.410Z,37.214,-118.2733333,10.62,0.7,md,5,298,0.1481,0.03,nc,nc72991295,2018-03-29T21:22:40.016Z,"6km NNE of Big Pine, CA",earthquake,1.14,1.37,0.194,5,reviewed,nc,nc
2018-03-29T20:22:18.619Z,59.6732,-152.616,79,1.8,ml,,,,0.4,ak,ak18823783,2018-03-29T20:31:17.095Z,"45km WSW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
